,name,type,category,price,datakey,url
2109,POWER POINT SÁCH CHUYÊN ĐỀ – NGỮ VĂN 12- CẢ NĂM - [KẾT NỐI TRI THỨC],ngu-van-12,ngu-van-tieng-viet,399000,20456,https://drive.google.com/open?id=1dCB9ythlE8gThrLiY3jhJcDH1wL0-T0d&usp=drive_copy
2110,KHBD GIÁO ÁN WORD CHÍNH KHÓA – NGỮ VĂN 12- CẢ NĂM - [CHÂN TRỜI SÁNG TẠO],ngu-van-12,ngu-van-tieng-viet,299000,20455,https://drive.google.com/drive/folders/1w2gE3jnNTLKG6A8lRsnVOvOr-aafxir-?usp=sharing
2111,POWER POINT CHÍNH KHÓA – NGỮ VĂN 12- CẢ NĂM - [CHÂN TRỜI SÁNG TẠO],ngu-van-12,ngu-van-tieng-viet,399000,20454,https://drive.google.com/drive/folders/1fhtC0LTalwefHbDS6t3LUz6peaKF-LDd?usp=drive_link
2112,KHBD GIÁO ÁN WORD SÁCH CHUYÊN ĐỀ – NGỮ VĂN 12- CẢ NĂM - [CHÂN TRỜI SÁNG TẠO],ngu-van-12,ngu-van-tieng-viet,299000,20453,https://drive.google.com/open?id=1HqVEHaJEE1EmQUgt5qRmlJ-fqyucagSR&usp=drive_copy
2113,POWER POINT SÁCH CHUYÊN ĐỀ – NGỮ VĂN 12- CẢ NĂM - [CHÂN TRỜI SÁNG TẠO],ngu-van-12,ngu-van-tieng-viet,399000,20452,https://drive.google.com/open?id=1kI2uLiS8EwHsxSRbGUM62dlHthzPtTlT&usp=drive_copy
2114,KHBD GIÁO ÁN WORD CHÍNH KHÓA – NGỮ VĂN 12- CẢ NĂM - [CÁNH DIỀU],ngu-van-12,ngu-van-tieng-viet,299000,20451,https://drive.google.com/drive/folders/1YP17xI8-ssP2uFv9-49PtxfKo37gz_3r?usp=drive_link
2115,POWER POINT CHÍNH KHÓA – NGỮ VĂN 12- CẢ NĂM - [CÁNH DIỀU],ngu-van-12,ngu-van-tieng-viet,399000,20450,https://drive.google.com/drive/folders/1TDFKg230mqc-ucpF0XZOxqbwVeLAv2-_?usp=drive_link
2116,KHBD GIÁO ÁN WORD SÁCH CHUYÊN ĐỀ – NGỮ VĂN 12- CẢ NĂM - [CÁNH DIỀU],ngu-van-12,ngu-van-tieng-viet,299000,20449,https://drive.google.com/open?id=143jq3vdRmhRz4BrXxpv9WpSqlI7szxaN&usp=drive_copy
2117,POWER POINT SÁCH CHUYÊN ĐỀ – NGỮ VĂN 12- CẢ NĂM - [CÁNH DIỀU],ngu-van-12,ngu-van-tieng-viet,399000,20448,https://drive.google.com/open?id=1OTjeTkhXCfWQTuK9650yzkSjO-_-LHmV&usp=drive_copy
2118,Giáo án 5512 cả năm 2021-2022 môn NGỮ VĂN lớp 12 (Bản word).zip,ngu-van-12,ngu-van-tieng-viet,199000,4554,https://drive.google.com/drive/folders/1UOdG1OAFdF5fa1FVJvT9v05kBqL2Q-dD?usp=sharing
